size_1, gflops
2, 26.6792
2, 27.4807
2, 28.3553
2, 25.719
2, 25.6459
2, 25.3053
2, 19.2661
2, 26.903
2, 26.3148
2, 26.3209
4, 209.155
4, 208.884
4, 207.478
4, 211.378
4, 212.937
4, 209.33
4, 212.953
4, 208.773
4, 197.134
4, 209.634
8, 1355.03
8, 1297.91
8, 1264.27
8, 1335.58
8, 1236.02
8, 1310.78
8, 1315.81
8, 1372.57
8, 1286.8
8, 1270.79
16, 3483.2
16, 3609.04
16, 3590.82
16, 3601.35
16, 3313.02
16, 3546.01
16, 3598.91
16, 3603.19
16, 3581.37
16, 3556.35
32, 4875.39
32, 4940.96
32, 4911.39
32, 4876.59
32, 4975.9
32, 4915.05
32, 3880.95
32, 4904.17
32, 4946.31
32, 4913.65
64, 5067.89
64, 5084.34
64, 5092.02
64, 5085.62
64, 5087.07
64, 5082.22
64, 5079.84
64, 5092.12
64, 5080.38
64, 5098.27
72, 5515.23
72, 5500.43
72, 5471.95
72, 5620.94
72, 5514.98
72, 5499.74
72, 5616.55
72, 5534.18
72, 5536.61
72, 5487.87
128, 5091.47
128, 4924.07
128, 5084.64
128, 5094.64
128, 5029.88
128, 4963.69
128, 4991.34
128, 5097.16
128, 5018.05
128, 5065.36
180, 5428.18
180, 5443.59
180, 5307.4
180, 5450.09
180, 5441.47
180, 5410.32
180, 5451.09
180, 5410.11
180, 5426.31
180, 5452.04
256, 5078.7
256, 5061.88
256, 5085.14
256, 5081.72
256, 4977.05
256, 5052.91
256, 5005.67
256, 5083.19
256, 4936.1
256, 5071.3
384, 5443.1
384, 5450.72
384, 5453.39
384, 5433.93
384, 5431.02
384, 5442.99
384, 5449.89
384, 5444.95
384, 5436.36
384, 5453.61
512, 5109.43
512, 5011.17
512, 5125.63
512, 5121.4
512, 5067.9
512, 5127.32
512, 5107.34
512, 5071.39
512, 5124.33
512, 5097.95
