size_1, gflops, gflops_mpi, speedup
2, 42.5022, 6.22078, 0.146364
2, 44.3371, 6.2052, 0.139955
2, 41.2698, 6.50986, 0.157739
4, 359.13, 47.9702, 0.133573
4, 312.523, 46.6309, 0.149208
4, 284.88, 46.9464, 0.164793
6, 828.315, 142.037, 0.171477
6, 842.9, 144.136, 0.171
6, 852.64, 142.657, 0.167312
8, 1455.76, 322.084, 0.221247
8, 1458.57, 319.927, 0.219343
8, 1464.5, 323.722, 0.221046
10, 2095.02, 589.327, 0.281298
10, 2081.5, 568.793, 0.273261
10, 2116.9, 580.927, 0.274423
12, 2641.81, 907.122, 0.343371
12, 2629.63, 940.08, 0.357496
12, 2563.26, 932.209, 0.363681
14, 2932.44, 1347.49, 0.459511
14, 3085.72, 1345.08, 0.435904
14, 3003.4, 1354.82, 0.451094
16, 3249.84, 1833.85, 0.564289
16, 3310.83, 2013.99, 0.608304
16, 3290.79, 1850.73, 0.562396
18, 3619.43, 2535.67, 0.700571
18, 3567.96, 2534.37, 0.710312
18, 3645.97, 2488.64, 0.682572
20, 3816.89, 3255.14, 0.852827
20, 3758.21, 3135.73, 0.834366
20, 3785.36, 3400.5, 0.898331
22, 3751.9, 3605.28, 0.960923
22, 3942.79, 3795.61, 0.962672
22, 3911.54, 3914.11, 1.00066
24, 4229.85, 4550.92, 1.07591
24, 4157.88, 4544.57, 1.093
24, 4148.24, 4492.17, 1.08291
26, 3314.83, 5006.97, 1.51048
26, 4334.41, 4993.01, 1.15195
26, 4319.54, 5147.38, 1.19165
28, 4359.11, 5595.97, 1.28374
28, 4402.67, 5609.22, 1.27405
28, 4396.29, 5587.18, 1.27089
30, 4450.2, 5984.13, 1.34469
30, 4422.23, 5957.2, 1.34711
30, 4436.11, 6017.81, 1.35655
32, 4470.22, 6279.75, 1.4048
32, 4500.8, 6261.56, 1.39121
32, 4489.47, 6296.88, 1.40259
34, 4564.31, 6546.2, 1.43421
34, 4560.09, 6548.69, 1.43609
34, 4531.03, 6575.73, 1.45127
36, 4581.61, 6976.06, 1.52262
36, 4581.81, 6936.17, 1.51385
36, 4587.02, 6937.15, 1.51234
38, 4601.56, 7093.03, 1.54144
38, 4604.76, 7029.02, 1.52647
38, 4604.41, 7047.8, 1.53066
40, 4635.64, 7303.54, 1.57552
40, 4624.82, 7298.6, 1.57814
40, 4631.7, 7291.27, 1.57421
42, 4639.06, 7306.74, 1.57505
42, 4635.88, 7373.32, 1.59049
42, 4641.06, 7430.28, 1.60099
44, 4633.37, 7589.06, 1.63791
44, 4647.33, 7555.56, 1.62579
44, 4632.79, 7538.33, 1.62717
46, 4591.68, 7631.11, 1.66194
46, 4597.22, 7711.46, 1.67742
46, 4583.56, 7709.12, 1.68191
48, 4583.64, 7744.52, 1.6896
48, 4582.35, 7742.7, 1.68968
48, 4572.39, 7750.28, 1.69502
50, 4586.36, 7728.11, 1.68502
50, 4594.81, 7657.94, 1.66665
50, 4588.43, 7679.54, 1.67368
52, 4597.64, 7521.17, 1.63588
52, 4606.44, 7434.78, 1.614
52, 4598.36, 7435.54, 1.617
54, 4566.56, 7381.43, 1.61641
54, 4576.91, 7429.77, 1.62332
54, 4385.84, 7304.9, 1.66556
56, 4587.18, 7843.27, 1.70982
56, 4444.64, 7633.97, 1.71757
56, 4568.36, 7506.76, 1.64321
58, 4596.04, 7708.38, 1.67718
58, 4595.43, 7651, 1.66492
58, 4468.32, 7506.08, 1.67984
60, 4596.54, 7469.07, 1.62493
60, 4479.09, 7555.29, 1.68679
60, 4624.21, 7588.02, 1.64093
62, 4473.2, 7601.62, 1.69937
62, 4372.27, 7495.01, 1.71421
62, 4608.69, 7546.84, 1.63752
64, 4444.66, 7639.32, 1.71877
64, 4105.45, 7696.23, 1.87464
64, 4532.56, 7439.74, 1.6414
66, 4147.02, 7433.55, 1.7925
66, 4551.91, 7403.74, 1.62651
66, 4486.36, 7669.25, 1.70946
68, 4605.67, 7324.96, 1.59042
68, 4533.09, 7546.53, 1.66476
68, 4598.08, 7182.2, 1.562
70, 4499, 7214.08, 1.60348
70, 4558.47, 7086.35, 1.55455
70, 4473.66, 7236.15, 1.6175
72, 4509.25, 7178.26, 1.5919
72, 4558.26, 7198.32, 1.57918
72, 4544.26, 7207.17, 1.58599
74, 4520.1, 7153.86, 1.58268
74, 4578.98, 7149.71, 1.56142
74, 4496.72, 7079.86, 1.57445
76, 4450.94, 7279.66, 1.63553
76, 4521.81, 7101.75, 1.57055
76, 4566.03, 7207.39, 1.57848
78, 4434.68, 6832.09, 1.54061
78, 4428.61, 6798.97, 1.53524
78, 4579.18, 6894.41, 1.5056
80, 4558.57, 7203.99, 1.58032
80, 4619.64, 7331.54, 1.58704
80, 4592.28, 7174.85, 1.56237
82, 4470.75, 6975.68, 1.56029
82, 4399.71, 6869.4, 1.56133
82, 4574.28, 7096.58, 1.55141
84, 4560.38, 7142.42, 1.56619
84, 4479.12, 7211.01, 1.60991
84, 4603.43, 7149.37, 1.55305
86, 4578.3, 7247.32, 1.58297
86, 4516.12, 7059.98, 1.56328
86, 4523.25, 7218.93, 1.59596
88, 4530.35, 6916.23, 1.52664
88, 4479.99, 7155.06, 1.59712
88, 4385.28, 7110.71, 1.62149
90, 4516.13, 7143.36, 1.58174
90, 4497.79, 7137.74, 1.58694
90, 4467.7, 7149.76, 1.60032
92, 4457.87, 7099.48, 1.59257
92, 4476.75, 7089.86, 1.58371
92, 4406.8, 7076.21, 1.60575
94, 4459.18, 6866.53, 1.53986
94, 4471.55, 6866.65, 1.53563
